0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,성별,교무실,담임여부,문이과,학년,반,교과,교과(국어),교과(수학),교과(사회),교과(과학),교과(영어),교과(역사),교과(예체능),교과(창체),교과(언어),
2,이십니까?,에 계십니까?,이십니까?,과목을 가르치십니까?,학년을 맡으셨습니까?,반을 맡으셨습니까?,교과를 가르치십니까?,을/를 가르치십니까?,을/를 가르치십니까?,을/를 가르치십니까?,을/를 가르치십니까?,을/를 가르치십니까?,을/를 가르치십니까?,을/를 가르치십니까?,을/를 가르치십니까?,을/를 가르치십니까?,
3,남자,1학년 교무실,담임,문과,1,1,국어,국어,수학,세계지리,통합과학,영어,한국사,체육,진로,일본어,
4,남자,2학년 교무실,비담임,이과,2,2,수학,문학,수학1,통합사회,물리학,영어 독해와 작문,세계사,음악,보건,중국어,
5,남자,3학년 교무실,담임,예체능,3,3,사회,현대문학감상,수학2,사회문화탐구,화학,영어권 문화,과학사,미술,영양,한문,
6,남자,교장실,비담임,창체,1,4,과학,논술,확률과 통계,한국지리,생명과학,원어민 수업,,운동과 건강,상담,,
7,남자,국제교육복지부,담임,문과,2,5,영어,독서,미적분,사회탐구방법,지구과학,,,,독서,,
8,남자,급식실,비담임,이과,3,6,역사,,기하와 벡터,경제,정보,,,,,,
9,남자,도서관,담임,예체능,1,7,예체능,,,사회문화,인공지능과 피지컬 컴퓨팅,,,,,,
10,여자,보건실,비담임,창체,2,1,기타(창체),,,사회과제연구,과학과제연구,,,,,,
11,여자,본 교무실,담임,문과,3,2,국어,,,통합사회,물리실험,,,,,,
12,여자,융합 과학실,비담임,이과,1,3,수학,,,윤리와 사상,과학탐구실험,,,,,,
13,여자,인문 사회부 교무실,담임,예체능,2,4,사회,,,생활과 윤리,생명실험,,,,,,
14,여자,체육관,비담임,창체,3,5,과학,,,교육학,융합과학,,,,,,
15,여자,개인실,담임,문과,1,6,영어,,,정치와 법,,,,,,,
,여자,정보실,비담임,이과,2,7,역사,,,,,,,,,,
,여자,학습도움실,담임,예체능,3,1,예체능,,,,,,,,,,
